topic_id,indicator_label,Source,calendar,time_id,value,unit,geo_code,geo_label,sub_code,sub_label,detail,detail_fa
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1960,9.82,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1961,3.16,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1962,0.72,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1963,0.37,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1964,3.81,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1965,2.15,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1966,-0.39,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1967,1.60,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1968,0.69,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1969,3.59,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1970,1.67,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1971,4.20,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1972,6.40,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1973,9.82,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1974,14.25,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1975,12.88,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1976,11.26,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1977,27.29,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1978,11.72,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1979,10.49,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1980,20.64,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1981,24.20,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1982,18.69,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1983,19.74,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1984,12.54,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1985,4.39,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1986,18.43,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1987,28.57,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1988,28.67,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1989,22.35,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1990,7.63,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1991,17.13,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1992,25.81,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1993,21.20,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1994,31.45,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1995,49.66,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1996,28.94,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1997,17.35,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1998,17.87,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,1999,20.07,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2000,14.48,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2001,11.27,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2002,14.34,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2003,16.47,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2004,14.76,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2005,13.43,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2006,10.02,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2007,17.34,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2008,25.41,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2009,13.55,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2010,10.09,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2011,26.29,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2012,27.26,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2013,36.60,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2014,16.61,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2015,12.48,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2016,7.25,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2017,8.04,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2018,18.01,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2019,39.91,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2020,30.59,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2021,43.39,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2022,43.49,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2023,44.58,%,IR,Iran,,,,
inf_wb_y,Yearly inflation rate- World Bank,World Bank,gregorian,2024,32.46,%,IR,Iran,,,,
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1960,0.14,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1961,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1962,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1963,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1964,0.15,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1965,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1966,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1967,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1968,0.16,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1969,0.17,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1970,0.17,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1971,0.17,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1972,0.19,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1973,0.20,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
cpi_wb_y,CPI - World Bank (2010 = 100),World Bank,gregorian,1974,0.23,,IR,Iran,,,Base year  2010,سال پایه ۲۰۱۰
