topic_id,indicator_label,Source,calendar,time_id,value,unit,geo_code,geo_label,sub_code,sub_label,detail,detail_fa
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1990,"15,383,995.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1991,"15,745,963.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1992,"15,968,046.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1993,"15,864,775.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1994,"15,813,180.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1995,"16,072,242.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1996,"16,376,911.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1997,"17,026,577.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1998,"17,783,993.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,1999,"18,602,325.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2000,"19,476,868.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2001,"20,409,991.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2002,"21,179,010.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2003,"22,044,846.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2004,"23,217,005.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2005,"24,431,517.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2006,"24,828,699.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2007,"25,004,744.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2008,"24,252,328.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2009,"25,116,620.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2010,"25,068,937.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2011,"24,409,383.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2012,"25,434,392.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2013,"25,379,809.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2014,"25,523,109.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2015,"26,476,760.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2016,"27,579,337.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2017,"28,624,101.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2018,"29,067,669.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2019,"29,161,250.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2020,"27,655,908.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2021,"27,754,866.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2022,"27,880,537.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2023,"29,026,520.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2024,"29,306,871.00",persons,IR,Iran,,,,
lf_lf_wb_t,Labour force population (ILO estimate) - male & female +15,World Bank (ILO estimate),gregorian,2025,"29,521,716.00",persons,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1990,47.14,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1991,46.78,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1992,46.31,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1993,45.80,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1994,45.23,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1995,44.60,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1996,43.93,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1997,43.93,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1998,43.95,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,1999,44.01,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2000,44.13,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2001,44.33,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2002,44.57,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2003,44.96,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2004,45.51,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2005,46.12,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2006,45.29,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2007,44.43,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2008,42.27,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2009,43.03,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2010,42.30,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2011,40.62,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2012,41.77,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2013,41.15,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2014,40.89,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2015,41.94,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2016,43.17,%,IR,Iran,,,,
lf_pr_wb_t,Participation rate (ILO estimate) - male & female (+15) ,World Bank (ILO estimate),gregorian,2017,44.24,%,IR,Iran,,,,
