topic_id,indicator_label,Source,calendar,time_id,value,unit,geo_code,geo_label,sub_code,sub_label,detail,detail_fa
liq,Broad Money,Central Bank of Iran,persian,1353-01,55,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1353-02,60,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1353-03,66,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1353-04,81,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1354-01,87,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1354-02,94,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1354-03,101,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1354-04,115,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1355-01,126,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1355-02,137,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1355-03,143,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1355-04,159,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1356-01,163,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1356-02,173,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1356-03,181,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1356-04,210,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1357-01,215,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1357-02,226,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1357-03,233,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1357-04,258,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1358-01,266,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1358-02,281,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1358-03,302,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1358-04,355,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1359-01,375,Billion Toman,IR,Iran,,,,
liq,Broad Money,Central Bank of Iran,persian,1359-02,384,Billion Toman,IR,Iran,,,,
