topic_id,level,main_category,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,indicator_label,calendar,geo_level,default_source,default_unit,frequency,requires_time_selection,chart_type,id_type,val_type,access
gdp_cur_wb,7,01-Economy,01-GDP,01-Total Value,02-Nominal,01-Current Price,01-World Bank,01-USD,,,,,GDP nominal current price (World Bank),gregorian,country,World Bank,Billion US$,yearly,FALSE,line,time,num,subscriber
gdp_cur_wb_irr,7,01-Economy,01-GDP,01-Total Value,02-Nominal,01-Current Price,01-World Bank,02-IRR,,,,,GDP nominal current price (World Bank - IRR),gregorian,country,World Bank,Billion Toman,yearly,FALSE,line,time,num,subscriber
gdp_cur_imf,6,01-Economy,01-GDP,01-Total Value,02-Nominal,01-Current Price,02-IMF,,,,,,GDP nominal current price (IMF),gregorian,country,IMF,Billion US$,yearly,FALSE,line,time,num,subscriber
gdp_cur_cbi,7,01-Economy,01-GDP,01-Total Value,02-Nominal,01-Current Price,03-Central Bank of Iran,01-Yearly,,,,,GDP nominal current price (CBI - yearly),persian,country,Central Bank of Iran,Billion Toman,yearly,FALSE,line,time,num,subscriber
gdp_cur_cbi_se,7,01-Economy,01-GDP,01-Total Value,02-Nominal,01-Current Price,03-Central Bank of Iran,02-Seasonal,,,,,GDP nominal current price (CBI - seasonal),persian,country,Central Bank of Iran,Billion Toman,seasonal,FALSE,line,time,num,subscriber
gdp_cur_stt,7,01-Economy,01-GDP,01-Total Value,02-Nominal,01-Current Price,04-Statistical Center of Iran,01-Yearly,,,,,GDP nominal current price (Statistical Center of Iran - yearly),persian,country,Statistical Center of Iran,Billion Toman,yearly,FALSE,line,time,num,subscriber
gdp_cur_stt_se,7,01-Economy,01-GDP,01-Total Value,02-Nominal,01-Current Price,04-Statistical Center of Iran,02-Seasonal,,,,,GDP nominal current price (Statistical Center of Iran - seasonal),persian,country,Statistical Center of Iran,Billion Toman,seasonal,FALSE,line,time,num,subscriber
gdp_cos_wb,7,01-Economy,01-GDP,01-Total Value,02-Nominal,02-Constant Price,01-World Bank,01-USD,,,,,GDP nominal constant price (World Bank),gregorian,country,World Bank,Billion 2015 US$,yearly,FALSE,line,time,num,subscriber
gdp_cos_wb_irr,7,01-Economy,01-GDP,01-Total Value,02-Nominal,02-Constant Price,01-World Bank,02-IRR,,,,,GDP nominal constant price (World Bank IRR),gregorian,country,World Bank,Billion 2015 Toman,yearly,FALSE,line,time,num,subscriber
gdp_cos_cbi,7,01-Economy,01-GDP,01-Total Value,02-Nominal,02-Constant Price,03-Central Bank of Iran,01-Yearly,,,,,GDP nominal constant price (CBI - yearly),persian,country,Central Bank of Iran,Billion Toman 1400,yearly,FALSE,line,time,num,subscriber
