topic_id,level,main_category,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,indicator_label,calendar,geo_level,default_source,default_unit,frequency,requires_time_selection,chart_type,id_type,val_type,access
gdp_cur_wb,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,01-قیمت جاری,01-بانک جهانی,01-دلاری,,,,,تولید ناخالص داخلی به قیمت جاری (بانک جهانی),میلادی,کشور,بانک جهانی,میلیارد دلار,سالیانه,FALSE,line,time,num,subscriber
gdp_cur_wb_irr,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,01-قیمت جاری,01-بانک جهانی,02-ریالی,,,,,تولید ناخالص داخلی به قیمت جاری (بانک جهانی - ریالی),میلادی,کشور,بانک جهانی,میلیارد تومان,سالیانه,FALSE,line,time,num,subscriber
gdp_cur_imf,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,01-قیمت جاری,02-صندوق بین المللی پول,,,,,,تولید ناخالص داخلی به قیمت جاری (صندوق بین‌المللی پول),میلادی,کشور,صندوق بین‌المللی پول,میلیارد دلار,سالیانه,FALSE,line,time,num,subscriber
gdp_cur_cbi,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,01-قیمت جاری,03-بانک مرکزی,02-سالیانه,,,,,تولید ناخالص داخلی به قیمت جاری (بانک مرکزی - سالانه),خورشیدی,کشور,بانک مرکزی,میلیارد تومان,سالیانه,FALSE,line,time,num,subscriber
gdp_cur_cbi_se,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,01-قیمت جاری,03-بانک مرکزی,02-فصلی,,,,,تولید ناخالص داخلی به قیمت جاری (بانک مرکزی - فصلی),خورشیدی,کشور,بانک مرکزی,میلیارد تومان,فصلی,FALSE,line,time,num,subscriber
gdp_cur_stt,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,01-قیمت جاری,04-مرکز آمار ایران,02-سالیانه,,,,,تولید ناخالص داخلی به قیمت جاری اسمی (مرکز آمار - سالانه),خورشیدی,کشور,مرکز آمار ایران,میلیارد تومان,سالیانه,FALSE,line,time,num,subscriber
gdp_cur_stt_se,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,01-قیمت جاری,04-مرکز آمار ایران,02-فصلی,,,,,تولید ناخالص داخلی به قیمت جاری (مرکز آمار - فصلی),خورشیدی,کشور,مرکز آمار ایران,میلیارد تومان,فصلی,FALSE,line,time,num,subscriber
gdp_cos_wb,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,02-قیمت ثابت,01-بانک جهانی,01-دلاری,,,,,تولید ناخالص داخلی به قیمت ثابت (بانک جهانی),میلادی,کشور,بانک جهانی,میلیارد دلار در سال ۲۰۱۵,سالیانه,FALSE,line,time,num,subscriber
gdp_cos_wb_irr,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,02-قیمت ثابت,01-بانک جهانی,02-ریالی,,,,,تولید ناخالص داخلی به قیمت ثابت (بانک جهانی - ریالی),میلادی,کشور,بانک جهانی,میلیارد تومان ۲۰۱۵,سالیانه,FALSE,line,time,num,subscriber
gdp_cos_cbi,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,02-قیمت ثابت,03-بانک مرکزی,02-سالیانه,,,,,تولید ناخالص داخلی به قیمت ثابت (بانک مرکزی - سالانه),خورشیدی,کشور,بانک مرکزی,میلیارد تومان ۱۴۰۰,سالیانه,FALSE,line,time,num,subscriber
gdp_cos_cbi_se,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,02-قیمت ثابت,03-بانک مرکزی,02-فصلی,,,,,تولید ناخالص داخلی به قیمت ثابت (بانک مرکزی - فصلی),خورشیدی,کشور,بانک مرکزی,میلیارد تومان ۱۴۰۰,فصلی,FALSE,line,time,num,subscriber
gdp_cos_stt,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,02-قیمت ثابت,04-مرکز آمار ایران,02-سالیانه,,,,,تولید ناخالص داخلی به قیمت ثابت (مرکز آمار - سالانه),خورشیدی,کشور,مرکز آمار ایران,میلیارد تومان ۱۴۰۰,سالیانه,FALSE,line,time,num,subscriber
gdp_cos_stt_se,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,02-ارزش اسمی,02-قیمت ثابت,04-مرکز آمار ایران,02-فصلی,,,,,تولید ناخالص داخلی به قیمت ثابت (مرکز آمار - فصلی),خورشیدی,کشور,مرکز آمار ایران,میلیارد تومان ۱۴۰۰,فصلی,FALSE,line,time,num,subscriber
gdp_ppp_cur_wb,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,03-برابری قدرت خرید,01-قیمت جاری,01-بانک جهانی,,,,,,تولید ناخالص داخلی بر اساس برابری قدرت خرید (به قیمت جاری),میلادی,کشور,بانک جهانی,میلیارد دلار بین‌المللی,سالیانه,FALSE,line,time,num,subscriber
gdp_ppp_cur_imf,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,03-برابری قدرت خرید,01-قیمت جاری,02-صندوق بین المللی پول,,,,,,تولید ناخالص داخلی بر اساس برابری قدرت خرید (صندوق بین‌المللی پول),میلادی,کشور,صندوق بین‌المللی پول,میلیارد دلار بین‌المللی,سالیانه,FALSE,line,time,num,subscriber
gdp_ppp_cos_wb,5,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,03-برابری قدرت خرید,02-قیمت ثابت,,,,,,,تولید ناخالص داخلی بر اساس برابری قدرت خرید (به قیمت ثابت),میلادی,کشور,بانک جهانی,میلیارد دلار بین‌المللی ۲۰۲۱,سالیانه,FALSE,line,time,num,subscriber
gdp_gth-wb,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,01-رشد اقتصادی,01-بانک جهانی,,,,,,,رشد اقتصادی (بانک جهانی),میلادی,کشور,بانک جهانی,درصد,سالیانه,FALSE,line,time,num,subscriber
gdp_gth-imf,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,01-رشد اقتصادی,02-صندوق بین المللی پول,,,,,,,رشد اقتصادی (صندوق بین‌المللی پول),میلادی,کشور,صندوق بین‌المللی پول,درصد,سالیانه,FALSE,line,time,num,subscriber
gdp_gth-cbi,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,01-رشد اقتصادی,03-بانک مرکزی,02-سالیانه,,,,,,رشد اقتصادی سالانه (بانک مرکزی),خورشیدی,کشور,بانک مرکزی,درصد,سالیانه,FALSE,line,time,num,subscriber
gdp_gth-cbi_se,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,01-رشد اقتصادی,03-بانک مرکزی,02-فصلی,,,,,,رشد اقتصادی فصلی (بانک مرکزی),خورشیدی,کشور,بانک مرکزی,درصد,فصلی,FALSE,line,time,num,subscriber
gdp_gth-stt,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,01-رشد اقتصادی,04-مرکز آمار ایران,02-سالیانه,,,,,,رشد اقتصادی سالانه (مرکز آمار),خورشیدی,کشور,مرکز آمار ایران,درصد,سالیانه,FALSE,line,time,num,subscriber
gdp_gth-stt_se,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,01-رشد اقتصادی,04-مرکز آمار ایران,02-فصلی,,,,,,رشد تولید ناخالص داخلی (مرکز آمار فصلی),خورشیدی,کشور,مرکز آمار ایران,درصد,فصلی,FALSE,line,time,num,subscriber
gdp_pr_oil,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,04-استانی,01-ارزش اسمی,01-با نفت,,,,,,تولید ناخالص داخلی استانی,خورشیدی,استان,مرکز آمار ایران,میلیارد تومان,سالیانه,TRUE,bar,time,num,subscriber
gdp_pr_no_oil,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,04-استانی,01-ارزش اسمی,02-بدون نفت,,,,,,تولید ناخالص داخلی استانی (بدون نفت),خورشیدی,استان,مرکز آمار ایران,میلیارد تومان,سالیانه,TRUE,bar,time,num,subscriber
gdp_pr_oil_share,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,04-استانی,02-اشتراک گذاری,01-با نفت,,,,,,سهم استان از تولید ناخالص داخلی,خورشیدی,استان,مرکز آمار ایران,درصد,سالیانه,TRUE,bar,time,num,subscriber
gdp_pr_no_oil_share,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,01-ارزش کلی,04-استانی,02-اشتراک گذاری,02-بدون نفت,,,,,,سهم استان تولید ناخالص داخلی (بدون نفت),خورشیدی,استان,مرکز آمار ایران,درصد,سالیانه,TRUE,bar,time,num,subscriber
gdp_cap_cur_wb,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,02-درآمد سرانه,02-ارزش اسمی,01-قیمت جاری,01-بانک جهانی,01-دلاری,,,,,سرانه تولید ناخالص داخلی به قیمت جاری (بانک جهانی),میلادی,کشور,بانک جهانی,دلار,سالیانه,FALSE,line,time,num,subscriber
gdp_cap_cur_wb_irr,7,01-اقتصاد کلان,01-تولید ناخالص داخلی,02-درآمد سرانه,02-ارزش اسمی,01-قیمت جاری,01-بانک جهانی,02-ریالی,,,,,سرانه تولید ناخالص داخلی به قیمت جاری (بانک جهانی - ریالی),میلادی,کشور,بانک جهانی,تومان,سالیانه,FALSE,line,time,num,subscriber
gdp_cap_cur_imf,6,01-اقتصاد کلان,01-تولید ناخالص داخلی,02-درآمد سرانه,02-ارزش اسمی,01-قیمت جاری,02-صندوق بین المللی پول,,,,,,سرانه تولید ناخالص داخلی به قیمت جاری (صندوق بین‌المللی پول),میلادی,کشور,صندوق بین‌المللی پول,دلار,سالیانه,FALSE,line,time,num,subscriber
