sub_code,sub_label_en,sub_label_fa,Column 1
Clean,Clean,پاک,
Acceptable,Acceptable,قابل قبول,
Unhealthy_l,Unhealthy for Sensitive Groups,ناسالم برای گروه‌های حساس,
Unhealthy,Unhealthy,ناسالم,
Unhealthy_h,Very Unhealthy,بسیار ناسالم,
Hazardous,Hazardous,خطرناک,
IR-AFSS,Social Security,تأمین اجتماعی نیروهای مسلح,
IR-DM,Ministry of Defense,وزارت دفاع,
IR-ARM,Army,ارتش,
IR-IRGC,IRGC,سپاه,
IR-POLICE,Police,فراجا,
IR-GSAF,General Armed Forces,ستاد کل نیروهای مسلح,
Total,Total,همه ترمینال‌ها,
Kharg,Kharg,خارک,
Jask,Jask,جاسک,
Sirri,Sirri,سیری,
Lavan,Lavan,لاوان,
Soroosh,Soroosh,سروش,
Assaluyeh,Assaluyeh,عسلویه,
Others,Others,سایر ترمینال‌ها,
Abadan,Abadan,آبادان,
Tehran,Tehran,تهران,
Isfahan,Isfahan,اصفهان,
Tabriz,Tabriz,تبریز,
Shiraz,Shiraz,شیراز,
Kermanshah,Kermanshah,کرمانشاه,
Shaz,Shazand (Arak),شازند (اراک),
Bandar Abbad,Bandar Abbad,بندرعباس,
Persian Guld Star,Persian Guld Star,ستاره خلیج فارس,
Crude oil input,Crude oil input,ورودی نفت خام,
Gas condensate input,Gas condensate input,ورودی میعانات گازی,
Non-standard Gasoline output,Non-standard Gasoline output,خروجی بنزین غیر استاندارد,
Gasoline Euro-4 output,Gasoline Euro-4 output,بنزین یورو ۴,
Gasoline Euro-5 output,Gasoline Euro-5 output,تولید بنزین یورو ۵,
Super gasoline output,Super gasoline output,خروجی بنزین سوپر,
Naphtha,Naphtha,نفتا,
Non-standard Kerosene output,Non-standard Kerosene output,خروجی نفت سفید غیر استاندارد,
Low-sulfur kerosene output,Low-sulfur kerosene output,تولید نفت سفید کم گوگرد,
Non-standard diesel output,Non-standard diesel output,خروجی دیزل غیر استاندارد,
Diesel Euro-4 output,Diesel Euro-4 output,خروجی دیزل یورو ۴,
Diesel Euro-5 output,Diesel Euro-5 output,خروجی دیزل یورو ۵,
LPG,LPG,گاز مایع,
Fuel oil (mazut) output,Fuel oil (mazut) output,خروجی ازوت,
Total output,Total output,کل خروجی,
Outfl,Outflow,جریان خروجی,
Infl,Inflow,جریان ورودی,
SHRENEW,Share of renewables,سهم انرژی‌های تجدیدپذیر,
SHLOWCAR,Share of low carbon sources,سهم منابع کم کربن,
SHCOAL,Share of coal,سهم زغال سنگ,
SHOIL,Share of oil,سهم نفت,
SHGAS,Share of gas,سهم گاز,
Ab_ref,Abadan refinery,پالایشگاه آبادان,
Teh_ref,Tehran refinery,پالایشگاه تهران,
Isf_ref,Isfahan refinery,پالایشگاه اصفهان,
Tab_ref,Tabriz refinery,پالایشگاه تبریز,
Shi_ref,Shiraz refinery,پالایشگاه شیراز,
Ker_ref,Kermanshah refinery,پالایشگاه کرمانشاه,
Lav_ref,Lavan refinery,پالایشگاه لاوان,
Sha_ref,Shazand refinery,پالایشگاه شازند,
Ban_ref,Bandar Abbad refinery,پالایشگاه بندرآباد,
Per_ref,Persian Guld Star refinery,پالایشگاه ستاره خلیج فارس,
Qes_ref,Qeshm,قشم,
Beh_ref,Behragan,بهراگان,
Asa_ref,Asalouyeh,عسلویه,
Gou_ref,Goureh,گوره,
Sir_ref,Siri and Lavan,سیری و لاوان,
0-14,0-14,۰-۱۴,
15-29,15-29,۱۵-۲۹,
30-64,30-64,۳۰-۶۴,
+60,+60,+۶۰,
+65,+65,+۶۵,
60,60800,60800,
99,99000,99000,
AMRSEZ,Amirabad Special Economic Zone,منطقه ویژه اقتصادی امیر آباد,
ANZFTZ,Anzali Free Trade Zone,منطقه آزاد تجاری انزلی,
ARD,Ardabil,اردبیل,
ARK,Arak,اراک,
ARVAB,Arvand Free Trade Zone - Abadan,منطقه آزاد تجاری اروند - آبادان,
ARVK,Arvandkenar,اروندکنار,
ARVKH,Arvand Free Trade Zone - Khorramshahr,منطقه آزاد تجاری اروند - خرمشهر,
AST,Astara,آستارا,
ASTSEZ,Astara Port Special Economic Zone,منطقه ویژه اقتصادی بندر آستارا,
AVZ,Ahvaz,اهواز,
AZNSEZ,Lorestan Special Economic Zone (AZNA),منطقه ویژه اقتصادی لرستان (ازنا),
BAHONAR,Shahid Bahonar,بندر شهید باهنر,
BAMSEZ,Bam Special Economic Zone,منطقه ویژه اقتصادی بم,
BILSV,Bileh Savar,بیله سوار,
BIMSEZ,Bandar Imam Khomeini Special Economic Zone,منطقه ویژه اقتصادی بندر امام خمینی,
BJG,Bajgiran,باجگیران,
BJN,Bojnourd,بجنورد,
BJNSEZ,Bojnourd Special Economic Zone,منطقه ویژه اقتصادی بجنورد,
BNB,Bonab,بناب,
BNDRIG,Bandar-e Rig,بندر ریگ,
BRJ,Birjand,بیرجند,
BRJSEZ,Birjand Special Economic Zone,منطقه ویژه اقتصادی بیرجند,
BSH,Bashmaq,باشماق,
BUSH1,Bushehr Special Economic Zone 1,منطقه ویژه اقتصادی بوشهر 1,
BUSH2,Bushehr Special Economic Zone 2,منطقه ویژه اقتصادی بوشهر 2,
BZR,Bazargan,بازرگان,
CHAB,Chabahar,چابهار,
CHABFTZ,Chabahar Free Trade Zone,منطقه آزاد تجاری چابهار,
CHAV,Chavibdeh,چوئبده,
CHZB,Chazabeh - Marzbostan,چذابه - مرزبستان,
CUS,Central customs,گمرک متمرکز,
DGH,Dogharoon,دوغارون,
DGHSEZ,Dogharoon Special Zone,منطقه ویژه اقتصادی دوغارون,
DYL,Daylam,دیلم,
FRD,Fereydunkenar,فریدون کنار,
GNV,Gonaveh,گناوه,
GSSEZ,Garmsar Special Economic Zone,منطقه ویژه اقتصادی گرمسار,
HAMDN,Hamedan,همدان,
HRFTZ,Hassanroud Anzali Free Trade Zone,منطقه آزاد تجاری حسن رود انزلی,
IBN,Incheh Borun,اینچه برون,
IKA,Imam Khomeini Airport,فرودگاه امام خمینی,
IKACITY,Imam Khomeini Airport City Free Zone,منطقه آزاد شهر فرودگاهی امام خمینی,
ISAR,Isfahan Airport,فرودگاه اصفهان,
